"Longitude","Gender","Senior Citizen","Partner","Dependents","Tenure Months","Phone Service","Multiple Lines","Internet Service","Online Security","Online Backup","Device Protection","Tech Support","Streaming TV","Streaming Movies","Contract","Paperless Billing","Payment Method","Churn Label","Churn Value","Churn Score","CLTV","Churn Reason"
-118.272783,2,1,1,1,2,2,1,1,"Yes",3,1,1,1,1,1,2,4,2,1,86,3239,4
-118.30742,1,1,1,2,2,2,1,2,"No",1,1,1,1,1,1,2,3,2,1,67,2701,14
-118.266293,2,1,1,2,49,2,3,2,"No",3,3,1,3,3,1,2,1,2,1,89,5340,3
-118.309868,1,1,2,1,10,2,1,1,"No",1,3,3,1,1,1,1,2,2,1,78,5925,5
-118.326843,2,1,2,2,47,2,3,2,"No",3,1,1,3,3,1,2,3,2,1,77,5789,3
-118.207607,2,1,1,2,34,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,65,2941,5
-118.274186,1,1,1,2,15,2,1,2,"Yes",3,1,1,3,3,1,2,2,2,1,82,2966,6
-118.185237,1,2,2,2,8,2,3,2,"No",3,1,1,1,1,1,2,2,2,1,69,5302,4
-118.229715,2,2,1,2,18,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,81,3179,4
-118.217141,1,1,1,2,1,2,1,2,"No",1,1,1,3,1,1,2,3,2,1,87,2483,20
-118.200669,1,1,2,2,7,2,1,2,"No",1,3,1,1,1,1,2,1,2,1,70,3457,21
-118.358634,2,1,1,1,5,2,1,3,"No internet service",2,2,2,2,2,1,1,4,2,1,66,2604,15
-118.491156,2,1,2,1,68,2,3,2,"No",3,3,3,3,3,3,2,1,2,1,86,5034,10
-118.330794,2,1,2,2,55,2,3,2,"Yes",3,1,1,3,1,1,2,3,2,1,75,5154,13
-118.020188,1,2,2,2,37,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,67,2793,9
-118.089299,1,2,1,2,27,2,3,2,"No",1,3,1,1,1,1,2,3,2,1,95,4638,21
-118.421305,1,1,2,1,25,1,2,1,"Yes",3,3,1,3,3,1,2,2,2,1,99,4190,11
-118.300237,2,1,1,1,1,1,2,1,"No",1,1,1,1,3,1,2,3,2,1,80,2301,15
-118.065591,1,2,2,2,1,2,1,2,"No",1,1,1,1,1,1,2,4,2,1,76,3964,8
-118.284363,1,1,1,1,8,2,3,1,"Yes",1,1,3,1,3,1,1,3,2,1,66,2662,8
-118.26411,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,2,3,2,1,73,2600,17
-118.142236,1,1,2,2,20,2,3,2,"Yes",1,1,1,1,1,1,1,3,2,1,86,5719,19
-118.244839,1,1,2,2,2,2,3,2,"No",1,3,3,3,3,1,2,3,2,1,83,4690,11
-118.165327,1,1,2,1,53,2,1,2,"No",1,3,1,3,3,2,2,1,2,1,80,4328,15
-118.087353,1,2,1,2,7,2,1,2,"Yes",1,1,1,1,1,1,1,1,2,1,81,4419,10
-118.267539,1,1,1,1,1,1,2,1,"No",3,1,1,1,1,1,1,1,2,1,95,4534,13
-118.632656,2,1,2,2,6,2,1,2,"No",3,3,1,1,3,1,2,3,2,1,94,2283,21
-118.41459,1,1,1,2,19,2,1,2,"Yes",1,3,3,3,3,1,2,3,2,1,71,3764,15
-118.338307,2,1,1,1,2,2,1,1,"No",1,1,1,1,1,1,2,2,2,1,76,2667,8
-118.615583,1,1,1,2,4,2,1,2,"No",1,1,1,1,1,1,2,3,2,1,67,2227,8
-118.445461,2,1,2,1,4,2,1,1,"No",1,1,3,1,1,1,1,4,2,1,82,3394,8
-118.459472,1,1,2,1,1,2,1,1,"No",1,1,1,3,1,1,1,4,2,1,81,3638,17
-118.317651,2,1,1,2,1,2,1,2,"Yes",1,1,1,1,3,1,2,4,2,1,66,2484,18
-118.372498,2,1,1,1,2,2,3,1,"No",3,1,1,1,1,1,2,4,2,1,81,2556,19
-118.400022,1,2,1,2,11,2,1,2,"No",3,1,1,3,3,1,2,3,2,1,85,5980,20
-117.906736,2,2,1,1,15,2,1,2,"No",3,1,1,1,1,1,2,3,2,1,86,4616,21
